,,,,,план 10,план 11,план 12,план 01,план 02,план 04,Октябрь 2021,,,Ноябрь 2021,,,Декабрь 2021,,,Январь 2022,,,Март 2022,,,Май 2022,,,,Июль 2022,,,Август 2022,,,,,Сентябрь 2022,,,,,Октябрь 2022,,,,,Ноябрь 2022,,,,,Декабрь 2022,,,,,Январь 2023,,,,,Февраль 2023,,,,,Март 2023,,,,,Апрель 2023,,,,,Май 2023,,,,,Июнь 2023,,,,,Июль 2023,,,,Август 2023,,,,,,Сентябрь 2023,,,,,Октябрь 2023,,,,,Ноябрь 2023,,,,,Декабрь 2023,,,,,Январь 2024,,,,,Февраль 2024,,,,Март 2024,,,,Апрель 2024,,,,Май 2024,,,,Июнь 2024,,,,Июль 2024,,,Август 2024,,,,Сентябрь 2024,,,,Октябрь 2024,,,,Ноябрь 2024,,,,Декабрь 2024,,,,Январь 2025,,,,Февраль 2025,,,,Март 2025,,,,Апрель 2025,,,,Май 2025,,,,Июнь 2025,,,,Июль 2025,,,,Август 2025,,,,Сентябрь 2025,,,,Октябрь 2025,,,,Ноябрь 2025,,,,Декабрь 2025,,,,Январь 2026,,,,Февраль 2026,,,,Март 2026,,,,Апрель 2026,,,,Май 2026,,,,Июнь 2026,,,,Июль 2026,,,,Август 2026,,,
Киров,https://2gis.ru/kirov/firm/70000001061169403//tab/reviews,"улица Профсоюзная, 1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,,,,1,,,,1,,,,1,5,,,1,5,,,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,,1,2,5,Алексей,,2,5,-,,2,5,-,1,3,5,Алексей,,3,5,-,,3,5,-,,3,5,,,3,5,,1,4,5,Алексей,1,5,5,Алексей,,5,5,,,5,5,,,5,5,,3,8,5,Алексей,,8,5,,,8,5,,,8,5,,,8,5,
Астрахань,,"улица Победы, 41",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,,0,,1,1,,1,5,,,,1,5,,,,1,0,,,,1,5,,,,1,5,,,,1,5,1,1,1,2,5,,,,2,5,,,1,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,5,,,,2,,,,,2,,,,2,,,,3,восстановлен,,0,3,5,,,3,5,,,3,5,,3,5,,3,5,-,,3,5,-,,3,5,-,,3,5,-,,3,5,-,,3,5,-,,3,5,,,3,5,,,3,5,,,3,5,,,3,5,Алексей,,3,5,-,,3,5,-,,3,5,,,3,5,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,
Тула,,"проспект Красноармейский, 7",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Сочи,,"улица ​Навагинская, 7",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,,,1,,,,1,,,,1,удален,,,1,удален,,,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Курск,,"улица Радищева, 5",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,0,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,,,,,-,1,1,5,Алексей,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,,,1,5,,,1,5,,,1,5,,1,2,5,Алексей,,2,5,-,,2,5,-,,2,5,,,2,5,,,2,,Алексей,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Сургут,,"улица 50 лет ВЛКСМ, 1",#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,1,,1,5,1,1,,2,5,1,1,,3,5,,,,3,5,1,1,,4,5,,,,4,5,1,1,,5,5,,,,5,5,,,,5,5,1,1,2,6,5,,,,6,5,,,,6,5,1,1,,7,5,,,,7,5,,,,7,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,8,5,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,-,1,9,5,Алексей,,9,5,-,,9,5,-,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,Алексей,,9,,-,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,
Магнитогорск,,"​проспект Ленина, 94а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,0,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,5,,,1,5,,,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Якутск,,"улица Кирова, 18 блок В",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Иваново,,"проспект Шереметьевский, 85Г",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,1,1,,1,5,,,,1,5,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Чита,,"улица Шилова, 35А",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,,,0,,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Калуга,https://2gis.ru/kaluga/firm/70000001061167814//tab/reviews,"улица Ленина, 102а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,,,,1,,,,1,,,,1,5,,,1,5,,,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,,,1,5,,,1,5,,,1,5,,1,2,5,Алексей,,2,5,-,,2,5,-,,2,5,,,2,5,,1,3,5,Алексей,1,4,5,Алексей,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,
Белгород,,"улица Князя Трубецкого, 24",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,#REF!,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Вологда,https://2gis.ru/vologda/firm/70000001061163433//tab/reviews,"улица ​Ленинградская, 150а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,1,1,1,2,5,,1,,3,5,,,,3,5,,,,3,5,,,,3,5,,,,3,5,,,,3,5,,,,3,,,,,3,,,,3,,,,3,,,,3,5,,,3,5,,,3,5,,3,5,,3,5,-,,3,5,-,,3,5,-,,3,5,-,,3,5,-,,3,5,-,,3,5,,1,4,5,Алексей,,4,5,-,,4,5,-,1,5,5,Алексей,,5,5,-,,5,5,-,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,
Курган,,"улица Куйбышева, 12",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,удален,,,1,удален,,,1,,,1,,,1,,Алексей,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Архангельск,,"улица Поморская, 7",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,#REF!,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Орёл,https://2gis.ru/orel/firm/70000001061369160//tab/reviews,"улица ​Черкасская, 39",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,#REF!,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,1,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,5,,,,1,,,,1,,,,1,,,1,2,,,,2,,,,2,5,,2,5,,2,5,-,,2,5,-,,2,5,-,,2,5,-,,2,5,-,,2,5,-,,2,5,,1,3,5,Алексей,,3,5,-,,3,5,-,1,4,5,Алексей,,4,5,-,,4,5,-,,4,5,,,4,5,,1,5,5,Алексей,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,
Нижневартовск,https://2gis.ru/nizhnevartovsk/firm/70000001026738794//tab/reviews,"улица Индустриальная, 38",#REF!,,,,1,1,1,1,,,,,,,1,1,5,,,,3,1,5,,5,1,5,4,3,5,,,,4,5,,0,0,4,5,,0,,4,5,,,,4,5,,,,4,5,,,,4,5,2,2,,6,5,,,,6,5,1,1,,7,5,,,,7,5,,,,7,5,1,1,7,8,5,,,,8,5,,,,8,5,,,,8,5,,,,8,5,,,,8,5,,,,8,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,9,5,,9,5,-,,9,5,-,,9,5,-,,9,5,-,,9,5,-,,9,5,-,,9,5,,1,10,5,Алексей,,10,5,-,,10,5,-,,10,5,,1,11,5,Алексей,,11,5,-,,11,5,-,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,,,11,5,
Мурманск,https://2gis.ru/murmansk/firm/70000001061169450//tab/reviews,"​проспект Ленина, 43",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Кострома,https://2gis.ru/kostroma/firm/70000001061161731//tab/reviews,"улица Ленина, 10",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,1,1,,1,5,,,,1,#REF!,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Новороссийск,https://2gis.ru/novorossiysk/firm/70000001061199732//tab/reviews,"улица ​Леднёва, 5а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,0,,,,0,,,,0,,1,,0,,,1,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,,1,2,5,Алексей,,2,5,-,,2,5,-,1,3,5,Алексей,,3,5,-,,3,5,-,,3,5,,1,4,5,Алексей,,4,5,-,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,
Тамбов,https://2gis.ru/tambov/firm/70000001061170289//tab/reviews,"улица ​Коммунальная, 21а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,,,1,,,,1,,,,1,нет,,,1,,,,1,,,1,,1,2,,Алексей,,2,,-,1,3,5,Алексей,,3,5,,,3,5,,,3,5,,,3,5,,1,4,5,Алексей,,4,5,-,,4,5,-,1,5,5,Алексей,,5,5,-,,5,5,-,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,
Таганрог,https://2gis.ru/taganrog/firm/70000001061189712//tab/reviews,"улица Греческая, 2",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,,,1,,,,1,,,,1,нет,,,1,,,,1,,,1,,1,2,,Алексей,,2,,-,1,3,5,Алексей,,3,5,,,3,5,,,3,5,,,3,5,,1,4,5,Алексей,,4,5,-,,4,5,-,,4,5,,1,5,5,Алексей,,5,5,-,,5,5,-,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,
Великий Новгород,https://2gis.ru/v_novgorod/firm/70000001061281811//tab/reviews," улица Большая Санкт-Петербургская, 22",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,1,1,,1,5,2,2,,3,5,,,,3,5,1,1,,4,5,,,,4,5,1,1,,5,5,,,,5,5,,,,5,5,,,,5,5,,,,5,5,,,,5,5,,,,5,5,,,,5,,,,,5,,,,,5,,,,,5,,,,5,,,,5,,,,5,5,,,5,5,,,5,5,,5,5,,5,5,-,,5,5,-,,5,5,-,1,6,5,Алексей,,6,5,,,6,5,,,6,5,,1,7,5,Алексей,,7,5,-,1,8,"4,6",Алексей,1,9,5,Алексей,,9,5,-,,9,5,-,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,
Сыктывкар,https://2gis.ru/syktyvkar/firm/70000001061194495//tab/reviews,"улица ​Гаражная, 9",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,1,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,,,1,,,,1,,,,1,нет,,,1,,,,1,,,1,,1,2,,Алексей,,2,,-,1,3,5,Алексей,,3,5,,,3,5,,,3,5,,,3,5,,1,4,5,Алексей,,4,5,-,,4,5,-,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,1,5,5,Алексей,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,
Абакан,#REF!,"ул Чертыгашева, 148",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,#REF!,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Южно-Сахалинск,#REF!,"улица Курильская, 38",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Пятигорск,#REF!,"​проспект Кирова, 36",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,#REF!,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,0,,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,-,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Казахстан,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,5,4,0,6,5,1,3,26,5,1,27,5,1,28,5,,1,27,5,,4,31,5,,0,31,5,,2,33,5,,0,33,5,,6,39,5,,0,39,5,,0,39,5,,5,44,5,,0,44,5,,1,45,5,,0,45,5,,0,45,5,,2,47,5,,1,48,,,0,48,,,0,48,,,0,48,,,0,48,,,0,48,,,0,48,,,0,48,,,,48,,,,48,,
Астана,https://2gis.kz/astana/firm/70000001061180683/reviews,"улица Жанажол, 19",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,,1,0,2,3,2,2,,4,4,3,3,,7,"4,4",,,,7,"4,4",2,2,,9,"4,8",1,1,,10,"4,8",,1,,11,"4,8",2,2,,13,"4,8",,,,13,"4,8",,,,13,"4,8",1,1,,14,"4,2",,,,14,"4,2",,,,14,"4,2",,,,14,,,,,14,,,,,14,,,,,14,,,,14,,,,14,,,1,15,"4,2",2,1,16,"4,2",,1,17,"4,3",,17,"4,3",1,18,"4,3",Алексей,,18,"4,3",-,3,21,"4,8",Алексей,,21,"4,8",,1,22,"4,9",Алексей,,22,"4,9",,1,23,"4,9",Алексей,,23,"4,9",-,,23,"4,9",-,1,24,"4,9",Алексей,,24,"4,9",-,1,25,4.7,Алексей,,25,4.7,-,,25,4.7,-,1,26,5,Алексей,,26,5,-,,26,5,,,26,5,,,26,5,,,26,5,,,26,5,,,26,5,,,26,5,,,26,5,,,26,5,
Шымкент,https://2gis.kz/shymkent/firm/70000001061179423/reviews,"проспект Кунаева, 59",#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,0,,,,0,,1,1,0,1,5,,0,,1,5,,,,1,5,,,,1,5,1,1,,2,5,,,,2,5,2,2,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,,,,,4,,,,,4,,,,,4,,,,4,,,,4,,,,4,5,,,4,5,,,4,5,,4,5,,4,5,-,,4,5,-,1,5,5,Алексей,,5,5,,,5,5,,,5,5,,1,6,5,Алексей,,6,5,-,,6,5,-,1,7,5,Алексей,,7,5,-,,7,5,-,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,
Тараз,https://2gis.kz/taraz/firm/70000001063459784/reviews,"улица Казыбек Би, 115",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,,0,,0,,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,,0,,,1,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,1,2,5,Алексей,,2,5,-,,2,5,-,,2,5,Алексей,,2,5,-,,2,5,-,,2,5,,,2,5,,,2,5,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Павлодар,https://2gis.kz/pavlodar/firm/70000001061192134/reviews,"улица Малайсары Батыра, 13",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,,0,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,5,,1,,-,1,2,5,Алексей,,2,5,-,,2,5,Алексей,1,3,5,Алексей,,3,5,,1,4,5,Алексей,,4,5,-,,4,5,-,1,5,5,Алексей,,5,5,-,,5,5,-,,5,5,,,5,5,,,5,5,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,
Атырау,https://2gis.kz/atyrau/firm/70000001061165268/reviews,"проспект Каныша Сатпаева, 17Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,1,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,,0,,,1,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,1,2,5,Алексей,,2,5,-,,2,5,-,1,3,5,Алексей,,3,5,-,,3,5,-,,3,5,,,3,5,,1,4,5,Алексей,,4,5,-,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,
Семей,https://2gis.kz/semey/firm/70000001063520107/reviews,"улица Абая, 115/1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,,0,,0,,,,,0,0,,,,0,,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,,0,,,1,1,5,,1,5,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,,1,5,-,1,2,5,Алексей,,2,5,-,,2,5,-,1,3,5,Алексей,,3,5,-,,3,5,-,,3,5,,,3,5,,,3,5,,1,4,5,Алексей,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,,,4,5,
